"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"SU000062600" "TMIN" "1957" "7" "250" "239" "250" "228" "228" "228" "272" "228" "239" "239" "239" "228" "239" "228" "239" "228" "239" "228" "239" "261" "228" "222" "228" "250" "250" "261" "289" "239" "250" "250" "250"
"SU000062600" "TMIN" "1957" "8" "250" "261" "289" "289" "289" "300" "300" "278" "239" "239" "250" "261" "272" "239" "250" "250" "261" "261" "239" "239" "228" "272" "239" "261" "261" "272" "239" "239" "239" "250" "239"
"SU000062600" "TMIN" "1957" "9" "239" "250" "228" "228" "228" "222" "239" "278" "289" "289" "278" "261" "289" "272" "261" "272" "261" "272" "289" "272" "250" "250" "278" "289" "272" "261" "278" "289" "278" "250" NA
"SU000062600" "TMIN" "1957" "10" "261" "239" "228" "250" "239" "250" "261" NA "261" "239" "250" "228" "222" "222" "222" "200" "189" "178" "189" "189" "211" "189" "172" "172" "200" "222" "211" "222" "222" "228" "228"
"SU000062600" "TMIN" "1957" "11" "228" "228" "228" "222" "200" "211" "189" "178" "161" "150" "150" "161" "178" "189" "178" "161" "128" "111" "161" "161" NA "161" "150" "172" "172" "139" "128" "150" "172" "128" NA
"SU000062600" "TMIN" "1957" "12" "128" "178" "150" "150" "161" "128" "78" "100" "89" "89" "72" "89" "122" "139" "150" "172" "172" "139" "139" "139" "111" "89" "72" "78" "72" "72" "72" "89" "89" "100" "111"
"SU000062600" "TMIN" "1958" "1" "122" "139" "122" "72" "61" "61" "50" "50" "39" "50" "72" "89" NA "139" "161" "150" "111" "89" "100" "122" "78" "72" "78" "100" "100" "111" "72" "50" "72" "50" "50"
"SU000062600" "TMIN" "1958" "2" "50" "61" "72" "78" "72" "100" "50" "50" "72" "72" "89" "89" "89" "89" "100" "100" "89" "100" "89" "89" "89" "122" "111" "100" "122" "150" "139" "150" NA NA NA
"SU000062600" "TMIN" "1958" "3" "172" "172" "128" "111" "100" "122" "128" "161" "111" "89" "122" "111" "111" "139" "89" "78" "89" "111" "128" "128" "161" "150" "122" "128" "111" "128" "161" "172" "178" "172" "178"
"SU000062600" "TMIN" "1958" "4" "228" "239" "239" "189" "178" "161" "161" "189" "200" "211" "228" "228" "172" "189" "211" "250" NA NA NA "228" "189" "161" "128" "161" "189" NA NA "250" "228" "211" NA
"SU000062600" "TMIN" "1958" "5" "211" "250" "250" "250" "239" "228" "200" "172" "161" "161" "161" "172" "172" "178" "222" "222" "222" "250" "250" "250" "261" "272" "272" "261" "239" "250" "272" "222" "222" "228" "211"
"SU000062600" "TMIN" "1958" "6" "228" "228" "228" "228" "239" "228" "250" "250" "261" "222" "211" "200" "200" "211" "211" "272" "261" "272" "250" "261" "211" "189" "200" "222" "200" "222" "239" "272" "272" "250" NA
"SU000062600" "TMIN" "1958" "7" "239" "250" "250" "228" "239" "272" "278" "261" "250" "250" "239" "228" "261" "261" "250" "250" "250" "228" "239" "250" "261" "272" "311" "289" "289" "278" "261" "272" "272" "278" "261"
"SU000062600" "TMIN" "1958" "8" "272" "250" "239" "250" "261" "250" "239" "250" "250" "250" "261" "261" "261" "261" "261" "261" "239" "261" "250" "239" "250" "239" "228" "239" "272" "250" "250" "250" "250" "239" "250"
"SU000062600" "TMIN" "1958" "9" "228" "228" "239" "228" "239" "272" "250" "250" "239" "222" "211" "211" "239" "250" "278" "261" "250" "228" "200" "211" "222" "228" "228" "200" "211" "211" "211" "211" "200" "189" NA
"SU000062600" "TMIN" "1958" "10" "200" "200" "200" "200" "200" "200" "211" "200" "178" "178" "178" "178" "189" "178" "161" "150" "161" "178" "200" "211" "211" "200" "211" "200" "200" "189" "178" "178" "128" "128" "161"
"SU000062600" "TMIN" "1958" "11" "161" "178" "161" "150" "150" "150" "161" "161" "189" "189" "189" "150" "139" "150" "172" "161" "161" "178" "200" "200" "228" "189" "161" "161" "161" "139" "150" "161" "150" "139" NA
"SU000062600" "TMIN" "1958" "12" "139" "122" "100" "100" "111" "100" "122" "150" "172" "172" "172" "150" "150" "139" "89" "128" "111" "100" "111" "128" "128" "122" "111" "122" "111" "139" "139" "150" "139" "139" "122"
"SU000062600" "TMIN" "1959" "1" "111" "122" "122" "128" "128" "122" "111" "72" "61" "72" "72" "61" "72" "72" "89" "89" "89" "100" "100" "61" "50" "50" "61" "50" "61" "50" "50" "72" "72" "50" "111"
"SU000062600" "TMIN" "1959" "2" "89" "100" "78" "61" "72" "72" "72" "72" "72" "72" "72" "72" "89" "78" "39" "50" NA "50" "72" "89" "100" "61" "72" "72" "78" "28" "61" "72" NA NA NA
"SU000062600" "TMIN" "1959" "3" "50" "72" "89" "100" "78" "78" "89" "111" "122" "128" "150" "161" "150" "161" "189" "172" "161" "128" "128" "111" "122" "122" "122" "122" "122" "100" "100" "122" "139" "161" "128"
"SU000062600" "TMIN" "1959" "4" "161" "172" "189" "211" "222" "172" "128" "139" "172" "161" "150" "178" "150" "161" "128" "139" "150" "161" "172" "172" "178" "228" "239" "272" "228" "189" "189" "261" "250" "250" NA
"SU000062600" "TMIN" "1959" "5" "189" "172" "189" "211" "228" "272" "250" "228" "178" "172" "200" "211" "228" "239" "228" "278" "272" "239" "211" "228" "228" "278" "228" "211" "222" "239" "250" "250" "261" "239" "211"
"SU000062600" "TMIN" "1959" "6" "228" "239" "250" "228" "211" "200" "211" "211" "228" "211" "250" "300" "272" "300" "300" "278" "250" "250" "239" "261" "239" "250" "239" "222" "200" "228" "239" "228" "228" "239" NA
"SU000062600" "TMIN" "1959" "7" "250" "250" "289" "239" "228" "222" "222" "222" "250" "228" "228" "228" "228" "228" "228" "228" "250" "250" "239" "239" "261" "250" "272" "250" "250" "250" "239" "250" "272" "272" "261"
"SU000062600" "TMIN" "1959" "8" "272" "272" "261" "250" "250" "261" "300" "300" "289" "322" "278" "261" "278" "272" "239" "250" "250" "261" "272" "250" "239" "239" "228" "228" "239" "239" "222" "228" "228" "228" "211"
"SU000062600" "TMIN" "1959" "9" "222" "228" "250" "272" "272" "250" "239" "250" "272" "272" "239" "250" "250" "239" "200" "189" "189" "211" "222" "211" "222" "222" "178" "178" "189" "200" "200" "189" "178" "189" NA
