"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"IN023550300" "TMIN" "1977" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250"
"IN023550300" "TMIN" "1977" "8" NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA NA NA NA NA NA NA NA NA "270" NA "270" NA NA "230"
"IN023550300" "TMIN" "1977" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "190" NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1977" "11" NA NA NA NA "210" NA "170" NA NA NA NA NA NA NA NA NA NA "150" NA NA NA "170" NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1977" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "100" NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "2" NA NA NA "60" NA NA "150" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "120" NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "140" NA "160" NA NA NA
"IN023550300" "TMIN" "1978" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "230" "250" NA NA NA NA NA NA NA NA "240" NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "5" NA NA NA NA NA NA NA NA NA NA "280" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "6" NA NA NA "290" NA "300" NA NA NA NA NA "270" NA NA NA NA "300" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "7" NA NA NA NA NA NA NA NA NA "260" NA NA NA NA NA "290" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1978" "8" NA NA NA NA "260" "260" "260" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA NA "260" NA
"IN023550300" "TMIN" "1978" "9" "260" NA NA NA "230" NA NA NA "230" NA NA NA NA NA NA NA NA NA "240" NA "230" NA NA NA NA NA NA NA NA NA NA
