SCCSID,SITE ID,Weight,ClimateStart,ClimateEnd,flat,flon,slat,slon,SITE name
1,0,8.22E-05,1968,1986,-26.75,16.03,-27.5,17,WA004150450
2,1,0.000166645,1968,1985,-19.58,20.53,-19.94000053,20.53000069,WA010150350
8,2,1.91E-05,1955,1990,-9.7,33.267,-9.550000191,33.86000061,MI000067421
8,3,0.000592883,1950,1990,-9.95,33.883,-9.550000191,33.86000061,MI000067423
9,4,1.56E-05,1959,1989,-3.333,36.633,-3.75,35,TZ000063789
12,5,0.001880846,1955,1986,0.45,33.183,0.479999989,32.56000137,UG000063682
13,6,2.55E-05,1964,1986,0.183,30.1,1.75,28.32999992,UG000063674
21,7,1.12E-06,1950,1978,12.13,15.03,13.75,-15.21000004,CD000004700
21,8,9.69E-07,1950,1978,14.12,15.32,13.75,-15.21000004,CD000004701
22,9,6.76E-05,1945,1958,11.43,-9.17,13.02999973,-7.349999905,GV000001811
22,10,5.62E-05,1961,2014,11.35,-5.683,13.02999973,-7.349999905,ML000061297
23,12,0.000149283,1945,1972,10.37,0.37,10.77999973,-0.819999993,TO000005352
23,13,1.68E-05,1945,1972,8.98,1.13,10.77999973,-0.819999993,TO000005361
23,11,4.92E-05,1945,1980,12.07,0.35,10.77999973,-0.819999993,UV000005507
24,14,4.00E-05,1933,1980,14.22,1.45,16.66667,-2,NG000001036
24,15,3.72E-05,1940,1980,13.5,2.13,16.66667,-2,NG000001052
27,16,2.21E-05,1952,1978,9.37,14.87,10.33333,15.3,CD000004709
29,18,0.001658447,1957,2013,13.617,25.333,13.5,25.5,SU000062760
29,17,9.25E-05,1961,2013,12.05,24.883,13.5,25.5,SU000062790
30,19,0.000102443,1961,2013,12.7,28.433,11.93000031,30.75,SU000062781
34,21,5.14E-05,1959,1989,-3.333,36.633,-4.900000095,35.86000061,TZ000063789
34,23,6.48E-06,1950,1989,-3.35,37.333,-4.900000095,35.86000061,TZ000063790
34,22,8.04E-06,1971,1990,-3.417,37.067,-4.900000095,35.86000061,TZ000063791
34,24,7.29E-06,1950,1990,-4.083,37.717,-4.900000095,35.86000061,TZ000063816
34,20,1.94E-05,1973,2015,-6.167,35.767,-4.900000095,35.86000061,TZ000063862
35,26,1.01E-05,1935,1998,3.533,39.033,5.340000153,37.43999863,KE000063619
37,28,0.00096889,1952,1988,12.55,37.417,12.60000038,37.45000076,ET000063331
37,27,2.56E-05,1961,1988,11.6,37.417,12.60000038,37.45000076,ET000063332
39,30,2.32E-06,1957,2014,19.533,33.317,23,38.75,SU000062640
39,29,1.46E-06,1973,2014,19.167,30.483,23,38.75,SU000062650
42,31,8.40E-05,1965,1978,35.18,-3.85,35,-3.25,MOE00147754
42,32,0.000132247,1961,2015,35.2778,-2.9553,35,-3.25,SP000060338
43,35,0.000578859,1951,1990,-25.05,33.633,-24.73999977,32.93000031,MZ000067335
43,34,5.72E-05,1938,1997,-25.37,31.9,-24.73999977,32.93000031,SF005577120
43,33,4.35E-05,1935,1997,-24.78,31.87,-24.73999977,32.93000031,SF005966470
46,36,4.22E-05,1948,2010,31.7667,35.2167,32.47000122,36.29000092,IS000006771
46,37,7.15E-05,1908,1948,31.7831,35.2331,32.47000122,36.29000092,ISE00100480
51,42,3.28E-05,1890,2014,53.0464,8.7992,53,-9,GM000001474
51,45,0.000152904,1912,1962,53.4806,10.2428,53,-9,GM000003865
51,44,4.21E-05,1891,2014,53.635,9.99,53,-9,GM000010147
51,43,3.21E-05,1936,2014,52.4656,9.6794,53,-9,GME00102244
51,39,4.97E-05,1989,2014,52.1353,7.7,53,-9,GME00111430
51,41,3.42E-05,1946,2014,53.8731,8.7067,53,-9,GME00121270
52,54,7.59E-05,1992,2014,68.4503,22.4981,68.66000366,21.5,FIE00146418
52,51,0.000168516,1965,1991,68.9667,22.1331,68.66000366,21.5,FIE00146628
52,57,4.67E-05,1954,2014,68.9967,23.0333,68.66000366,21.5,NOE00111336
52,58,4.98E-05,1970,1996,69.0167,23.0339,68.66000366,21.5,NOE00111345
52,47,2.61E-05,1961,2011,67.68,21.63,68.66000366,21.5,SWE00140886
52,56,2.95E-05,1977,2011,67.73,22.83,68.66000366,21.5,SWE00140892
52,52,3.29E-05,1965,2011,67.76,22.35,68.66000366,21.5,SWE00140898
52,50,0.000588088,1965,1983,68.05,21.98,68.66000366,21.5,SWE00140922
52,48,6.57E-05,1961,2011,68.09,21.7,68.66000366,21.5,SWE00140928
52,55,5.48E-05,1969,1998,68.2,22.76,68.66000366,21.5,SWE00140936
