SCCSID,SITE ID,Weight,ClimateStart,ClimateEnd,flat,flon,slat,slon,SITE name
52,46,0.001969195,1965,2011,68.68,21.53,68.66000366,21.5,SWE00140960
52,53,8.07E-05,1961,2011,68.4419,22.4503,68.66000366,21.5,SWM00002080
53,59,0.000325032,1914,2015,69.72,66.8194,69.62999725,70.36000061,RSM00023032
53,61,0.000126025,1950,1994,68.4667,73.5831,69.62999725,70.36000061,RSM00023146
53,60,0.000123195,1936,2014,67.6994,72.9494,69.62999725,70.36000061,RSM00023242
54,64,0.000113506,1959,1996,54.4,41.9,52.66667,41.33333,RSM00027745
54,63,0.00066861,1959,2014,53.45,41.8,52.66667,41.33333,RSM00027848
54,62,0.267415771,1936,2013,52.7331,41.4667,52.66667,41.33333,RSM00027947
55,66,3.13E-05,1966,1992,43.4,40.8,43,41,GG000037183
55,65,0.004322655,1959,1992,43.1,40.633,43,41,GG000037187
55,67,0.028625299,1977,1992,43,40.9,43,41,GG000037197
55,69,8.42E-05,1959,1992,43,41.5,43,41,GG000037198
55,68,0.014897265,1959,1992,42.7,41.467,43,41,GG000037267
55,70,6.72E-05,1936,1992,42.833,41.667,43,41,GG000037272
57,72,7.22E-06,1989,2015,38.08,46.28,36.61000061,44.52999878,IR000040706
57,71,4.75E-06,1957,2015,38.45,43.32,36.61000061,44.52999878,TU000017170
58,73,3.32E-05,1989,2015,29.533,52.533,28.81999969,53.24000168,IR000040848
59,77,0.000116466,1901,1969,32.88,74.73,32.5,74,IN008040200
59,76,0.00022336,1901,1969,32.62,74.73,32.5,74,IN008040400
59,75,0.001131035,1957,2014,31.55,74.333,32.5,74,PK000041640
59,74,0.000182704,1901,1947,32.98,74.07,32.5,74,PK008109901
60,80,5.28E-05,1939,1964,18.88,81.35,19.27000046,80.97000122,IN011020200
60,79,0.000150006,1939,1968,19.72,81.25,19.27000046,80.97000122,IN011020201
60,78,4.63E-05,1939,1968,18.78,80.82,19.27000046,80.97000122,IN011020400
62,93,0.001235378,1901,1968,24.08,87.58,23.75,87.52999878,IN004160900
62,86,0.000233923,1926,1970,23.97,87.17,23.75,87.52999878,IN004162500
62,84,0.001207541,1918,1955,23.57,87.12,23.75,87.52999878,IN024011300
62,85,0.000399953,1901,1961,23.43,87.12,23.75,87.52999878,IN024011700
62,90,0.004822552,1901,1963,23.3,87.42,23.75,87.52999878,IN024011800
62,87,0.00124338,1918,1963,23.43,87.3,23.75,87.52999878,IN024012000
62,89,0.02651334,1919,1962,23.4,87.38,23.75,87.52999878,IN024012100
62,83,0.000345103,1941,1963,23.42,87.08,23.75,87.52999878,IN024012801
62,94,0.006567056,1901,1966,23.67,87.7,23.75,87.52999878,IN024020100
62,92,0.005884236,1901,1970,23.92,87.53,23.75,87.52999878,IN024020200
62,95,0.00151137,1934,1961,23.98,87.77,23.75,87.52999878,IN024020500
62,81,0.000262693,1919,1970,23.68,86.98,23.75,87.52999878,IN024030100
62,88,0.001497543,1913,1946,23.68,87.35,23.75,87.52999878,IN024032700
62,91,0.001905171,1945,1991,23.467,87.433,23.75,87.52999878,IN024034300
62,82,0.000246328,1952,1967,23.43,87.03,23.75,87.52999878,IN024112900
62,97,0.000482643,1931,1960,23.88,88,23.75,87.52999878,IN024121100
62,96,0.00050827,1925,1959,24.03,87.98,23.75,87.52999878,IN024121600
63,100,0.00075532,1901,1968,25.62,81.83,25.65999985,82.97000122,IN023030500
63,99,7.39E-05,1901,1968,25.47,81.83,25.65999985,82.97000122,IN023031000
63,102,0.001048862,1901,1968,25.55,82.08,25.65999985,82.97000122,IN023031500
63,108,0.099387818,1901,1968,25.73,82.98,25.65999985,82.97000122,IN023051201
63,109,0.003759081,1901,1968,25.53,83.22,25.65999985,82.97000122,IN023241200
63,105,0.025372817,1901,1968,25.75,82.68,25.65999985,82.97000122,IN023300800
63,104,0.009921403,1901,1968,25.6,82.6,25.65999985,82.97000122,IN023300900
63,103,0.003204405,1901,1968,25.7,82.42,25.65999985,82.97000122,IN023301000
63,107,0.073131602,1901,1968,25.63,82.92,25.65999985,82.97000122,IN023301100
63,98,0.000335598,1901,1968,25.72,81.52,25.65999985,82.97000122,IN023450900
63,101,0.00060922,1901,1968,25.9,81.95,25.65999985,82.97000122,IN023451100
63,106,0.014642451,1951,2005,25.45,82.867,25.65999985,82.97000122,IN023550300
65,112,0.004335843,1949,1991,46.7,59,45.81000137,57.97000122,KZ000035739
66,113,3.90E-05,1961,2014,47.75,96.85,47,96.02999878,MG000044272
68,114,1.90E-05,1901,1970,27.05,88.267,27.53000069,88.5,IN024050100
68,118,0.005646134,1921,1970,27.07,88.47,27.53000069,88.5,IN024050200
68,117,1.02E-05,1901,1967,26.72,88.43,27.53000069,88.5,IN024050300
68,115,5.08E-05,1901,1970,26.88,88.28,27.53000069,88.5,IN024050400
68,119,2.46E-05,1901,1970,26.92,88.5,27.53000069,88.5,IN024050500
68,116,9.22E-06,1901,2012,26.633,88.317,27.53000069,88.5,IN024059900
68,120,7.93E-06,1901,1970,26.533,88.717,27.53000069,88.5,IN024080100
68,121,7.01E-06,1901,1966,26.7,89.45,27.53000069,88.5,IN024080200
68,122,1.61E-05,1901,1968,26.77,89.58,27.53000069,88.5,IN024080600
70,126,0.000464627,1901,1952,23.733,92.717,22.33333,93,IN015010100
70,128,2.23E-05,1901,1959,23.47,93.33,22.33333,93,IN015010101
70,127,0.000175519,1901,1957,22.88,92.75,22.33333,93,IN015010102
70,124,6.78E-06,1901,1959,23.8,92.67,22.33333,93,IN015010200
70,125,3.50E-05,1906,1959,22.25,92.68,22.33333,93,IN015010201
70,129,3.20E-05,1914,1959,23.38,92.75,22.33333,93,IN015010300
70,123,1.16E-05,1901,1968,22.92,92.47,22.33333,93,IN015010301
71,130,2.46E-06,1901,1959,23.47,93.33,21.52000046,95.41000366,IN015010101
72,131,3.44E-05,1951,1985,19.883,99.833,20,100.66667,TH000048303
73,132,3.61E-05,1953,2015,22.367,106.75,20.40999985,106.1699982,CHM00059417
76,133,0.002512056,1951,2015,14.467,100.133,13.85000038,100.7099991,TH000048425
76,137,0.001297457,1951,2015,14.8,100.617,13.85000038,100.7099991,TH000048426
76,139,0.005805421,1951,2014,14.05,101.367,13.85000038,100.7099991,TH000048430
76,134,0.146231212,1951,2015,13.733,100.567,13.85000038,100.7099991,TH000048455
76,135,0.008643321,1943,2015,13.917,100.6,13.85000038,100.7099991,TH000048456
76,138,0.009954371,1951,2014,13.367,100.983,13.85000038,100.7099991,TH000048459
83,140,4.69E-05,1962,2015,-5.85,112.633,-7.71999979,112.2200012,ID000096925
85,141,1.88E-07,1957,1980,1.02,13.93,2,113,GB000004545
90,146,0.002781484,1913,1996,-11.765,130.6286,-11.39999962,130.4199982,ASN00014001
90,148,0.002034157,1869,1962,-12.4,130.8,-11.39999962,130.4199982,ASN00014016
90,147,0.002434765,1959,1997,-11.4258,130.6758,-11.39999962,130.4199982,ASN00014103
90,149,0.000666679,1962,2014,-12.3786,130.8469,-11.39999962,130.4199982,ASN00014112
90,145,0.001860475,1899,1933,-12.4,130.6,-11.39999962,130.4199982,ASN00014123
90,143,1.816934244,1963,2015,-11.4022,130.4217,-11.39999962,130.4199982,ASN00014142
90,151,0.000565883,1964,2004,-12.399,130.8508,-11.39999962,130.4199982,ASN00014162
90,153,0.000852181,1967,1994,-12.3931,130.8714,-11.39999962,130.4199982,ASN00014164
90,157,0.00066681,1959,1994,-12.36,130.8883,-11.39999962,130.4199982,ASN00014175
90,155,0.044258836,1977,1994,-12.3933,130.8842,-11.39999962,130.4199982,ASN00014214
90,154,0.001778092,1982,1998,-12.3622,130.8797,-11.39999962,130.4199982,ASN00014216
90,159,0.00215699,1987,2015,-12.3887,130.9248,-11.39999962,130.4199982,ASN00014227
90,158,0.000851494,1989,2015,-12.3784,130.9057,-11.39999962,130.4199982,ASN00014246
90,160,0.000594324,1991,2015,-12.3602,130.9829,-11.39999962,130.4199982,ASN00014259
90,150,0.002229131,1967,2014,-12.3833,130.85,-11.39999962,130.4199982,ASN00014270
90,156,0.045679351,1995,2014,-12.3551,130.8857,-11.39999962,130.4199982,ASN00014285
90,144,0.0005241,1996,2009,-11.7782,130.5579,-11.39999962,130.4199982,ASN00014288
90,152,0.000868921,1996,2014,-12.3723,130.8665,-11.39999962,130.4199982,ASN00014289
91,164,0.000327838,1873,1987,-23.71,133.8683,-23.54000092,133.7599945,ASN00015540
91,162,0.012564373,1957,1974,-23.4167,133.75,-23.54000092,133.7599945,ASN00015541
91,165,0.000292072,1990,2014,-23.7233,133.8792,-23.54000092,133.7599945,ASN00015628
91,163,0.000375161,1890,1911,-23.7333,133.8667,-23.54000092,133.7599945,ASN00015630
91,167,0.001427355,1901,2013,-23.5409,133.921,-23.54000092,133.7599945,ASN00015631
91,166,0.000314744,1982,2009,-23.6925,133.8978,-23.54000092,133.7599945,ASN00015648
91,161,0.013521483,2002,2014,-23.5232,133.6792,-23.54000092,133.7599945,ASN00015671
92,168,0.000243092,1970,2015,-9.383,147.217,-8.680000305,148.3899994,PP000092035
93,169,0.00366882,1957,2013,-8.467,140.383,-7.630000114,138.6000061,ID000097980
96,170,0.023891079,1968,2003,-2.05,147.433,-2.200000048,147.1799927,PP000092044
99,171,6.22E-06,1973,2015,-8.333,157.267,-6.570000172,155.6300049,BP000091503
102,172,0.003881479,1961,2015,-17.75,177.45,-18,178.5833,FJ000091680
106,176,3.87E-05,1980,2012,-14.3167,-170.7667,-13.88000011,-171.9600067,AQC00914000
106,174,1.24E-05,1967,1978,-14.35,-170.7833,-13.88000011,-171.9600067,AQC00914397
106,175,1.25E-05,1955,1967,-14.35,-170.7667,-13.88000011,-171.9600067,AQC00914873
108,177,0.000172672,1985,2006,7.2667,168.8333,6.019999981,169.5500031,RMC00913915
108,182,0.000107084,1991,2006,7.0725,171.5544,6.019999981,169.5500031,RMC00914053
108,178,0.001729344,1985,2005,5.9167,169.65,6.019999981,169.5500031,RMC00914304
108,180,0.000130059,1990,2006,7.1361,171.0411,6.019999981,169.5500031,RMC00914399
108,181,0.00011141,1954,2014,7.0833,171.3833,6.019999981,169.5500031,RMW00040710
109,183,0.008232658,1951,2014,7.45,151.8333,7.409999847,151.6699982,FMW00040505
110,188,0.070632604,2000,2014,9.5367,138.1211,9.510000229,138.0899963,FMC00914163
110,185,0.017045006,1997,2014,9.4508,138.062,9.510000229,138.0899963,FMC00914213
110,191,0.007671627,1991,2012,9.6053,138.1786,9.510000229,138.0899963,FMC00914446
110,187,0.006689006,1993,2014,9.5742,138.1108,9.510000229,138.0899963,FMC00914585
110,190,0.016385748,1993,2014,9.6244,138.1592,9.510000229,138.0899963,FMC00914808
110,189,0.058791325,1991,2014,9.55,138.15,9.510000229,138.0899963,FMC00914831
110,186,0.032516116,1951,2014,9.4833,138.0833,9.510000229,138.0899963,FMW00040308
112,193,8.33E-06,1953,1991,15.1833,120.55,16.79999924,121.1500015,RPC00914100
112,192,8.35E-06,1949,1967,15.1833,120.55,16.79999924,121.1500015,RPW00041207
116,194,0.001754269,1949,2015,37.467,126.633,37.63000107,126.4899979,KS000047112
116,195,0.001473611,1949,1960,37.55,126.8,37.63000107,126.4899979,KSW00043201
116,196,0.002191675,1951,1967,37.7333,127.05,37.63000107,126.4899979,KSW00043218
117,198,5.55E-05,1951,2015,35.45,133.067,34.50999832,133.9299927,JA000047741
117,200,5.69E-05,1951,2015,35.433,133.333,34.50999832,133.9299927,JA000047744
117,207,6.21E-05,1951,2015,35.483,134.233,34.50999832,133.9299927,JA000047746
117,204,0.001090162,1951,2015,35.067,134.017,34.50999832,133.9299927,JA000047756
117,199,0.000101555,1951,2015,34.45,133.25,34.50999832,133.9299927,JA000047767
117,203,0.000401596,1951,2015,34.667,133.917,34.50999832,133.9299927,JA000047768
117,209,0.000108463,1951,2015,34.833,134.667,34.50999832,133.9299927,JA000047769
117,197,6.17E-05,1951,2015,33.85,132.783,34.50999832,133.9299927,JA000047887
117,202,0.000213749,1951,2015,34.283,133.75,34.50999832,133.9299927,JA000047890
117,205,0.000276071,1951,2015,34.317,134.05,34.50999832,133.9299927,JA000047891
117,201,5.83E-05,1951,2015,33.567,133.55,34.50999832,133.9299927,JA000047893
117,206,7.55E-06,1951,1990,33.85,134.1,34.50999832,133.9299927,JA000047894
117,208,8.49E-05,1951,2015,34.067,134.567,34.50999832,133.9299927,JA000047895
118,213,0.000148618,1951,2015,43.183,141.017,42.52999878,142.0899963,JA000047411
118,214,0.000196828,1951,2015,43.067,141.333,42.52999878,142.0899963,JA000047412
118,216,0.000362748,1951,2015,43.217,141.783,42.52999878,142.0899963,JA000047413
118,218,0.000232639,1951,2015,42.917,143.217,42.52999878,142.0899963,JA000047417
118,212,0.00029421,1951,2015,42.317,140.983,42.52999878,142.0899963,JA000047423
118,215,0.000298973,1951,2015,42.617,141.55,42.52999878,142.0899963,JA000047424
118,217,0.000298246,1951,2015,42.167,142.783,42.52999878,142.0899963,JA000047426
118,211,0.000175009,1951,2015,41.817,140.75,42.52999878,142.0899963,JA000047430
118,210,8.42E-05,1951,2015,42.9,140.75,42.52999878,142.0899963,JA000047433
118,219,0.00018507,1958,2015,42.3,143.317,42.52999878,142.0899963,JA000047440
119,220,0.000322053,1959,2013,53.95,140.33,53.08000183,141.8999939,RSM00031362
119,222,0.000189923,1881,2014,53.15,140.7164,53.08000183,141.8999939,RSM00031369
119,223,0.003471551,1936,2013,52.7,141.3,53.08000183,141.8999939,RSM00031436
119,221,0.000248608,1936,2015,52.38,140.47,53.08000183,141.8999939,RSM00031439
119,225,0.00298906,1936,2013,53.57,142.5,53.08000183,141.8999939,RSM00032014
119,224,0.001731283,1936,2015,52.22,141.63,53.08000183,141.8999939,RSM00032027
121,226,7.66E-05,1948,2015,66.3497,-179.1,66.94000244,-179.9199982,RSM00025378
124,229,0.005663315,1930,1977,67.8333,-115.1167,68.77999878,-114.8199997,CA002300900
124,228,0.00059711,1977,2014,67.8167,-115.15,68.77999878,-114.8199997,CA002300902
124,227,0.000597556,2004,2015,67.8167,-115.1333,68.77999878,-114.8199997,CA002300904
124,230,0.001624567,1957,1993,68.5,-113.2167,68.77999878,-114.8199997,CA002302680
130,231,0.000125838,1979,2015,61.0183,-147.5147,60.52999878,-145.7599945,USC00501240
130,232,0.000410795,1944,1974,60.2333,-146.65,60.52999878,-145.7599945,USC00501308
130,243,0.000117021,1936,1974,59.8,-144.6,60.52999878,-145.7599945,USC00501321
130,238,0.003802149,1955,2014,60.5561,-145.7531,60.52999878,-145.7599945,USC00502173
130,242,1.94E-05,1965,1977,61.45,-145.1167,60.52999878,-145.7599945,USC00502835
130,233,1.25E-05,1900,1916,61.1,-146.45,60.52999878,-145.7599945,USC00503162
130,239,2.27E-05,1952,1973,61.1333,-145.75,60.52999878,-145.7599945,USC00509146
130,235,0.000176053,2002,2013,61.1314,-146.2436,60.52999878,-145.7599945,USC00509685
130,236,0.000183907,1906,1981,61.1167,-145.8167,60.52999878,-145.7599945,USC00509911
130,241,0.000650009,1909,2015,60.4889,-145.4511,60.52999878,-145.7599945,USW00026410
130,234,0.000197939,1917,2015,61.1303,-146.3517,60.52999878,-145.7599945,USW00026442
131,251,0.000107686,1939,1958,53.3667,-131.9333,54,-132.5,CA001052310
131,246,0.000330872,1897,2008,54.0333,-132.1333,54,-132.5,CA001054920
131,249,8.23E-05,1980,1998,53.05,-132.05,54,-132.5,CA001055950
131,245,0.000213374,1967,1988,53.6833,-132.1833,54,-132.5,CA001056250
131,247,9.60E-05,1914,1948,53.25,-132.0833,54,-132.5,CA001056590
131,253,0.000140589,1994,2015,54.1667,-131.6667,54,-132.5,CA001056869
131,252,8.48E-05,1945,2015,53.25,-131.8167,54,-132.5,CA001057050
131,250,0.000120244,1950,1999,53.5,-131.95,54,-132.5,CA001058190
131,244,0.000269801,1974,2014,53.7667,-132.3,54,-132.5,CA00105PA91
131,254,6.93E-05,1993,2014,53.0333,-131.6,54,-132.5,CA001062251
132,258,1.70E-05,1978,2015,51.6,-127.8667,52.40000153,-126.5999985,CA001060080
132,255,1.91E-05,1933,1977,52.1667,-128.15,52.40000153,-126.5999985,CA001060810
132,264,0.000309888,1895,2002,52.3667,-126.6833,52.40000153,-126.5999985,CA001060840
132,265,0.00117111,1983,2014,52.3833,-126.6,52.40000153,-126.5999985,CA001060841
132,263,0.000136968,1961,1985,52.3667,-126.8167,52.40000153,-126.5999985,CA001060842
132,260,3.35E-05,1994,2014,52.1833,-127.4667,52.40000153,-126.5999985,CA001061458
132,256,1.93E-05,1977,2015,52.1833,-128.1167,52.40000153,-126.5999985,CA001062544
132,259,2.77E-05,1924,1986,52.35,-127.6833,52.40000153,-126.5999985,CA001065670
132,257,2.07E-05,1977,1989,52.0667,-127.95,52.40000153,-126.5999985,CA001066202
132,261,2.13E-05,1893,1943,51.6667,-127.35,52.40000153,-126.5999985,CA001066787
132,266,8.20E-05,1932,2013,52.3667,-126.0667,52.40000153,-126.5999985,CA001067776
132,262,2.23E-05,1974,1987,51.6833,-127.25,52.40000153,-126.5999985,CA001068677
132,267,1.97E-05,1954,1967,52.35,-125.3333,52.40000153,-126.5999985,CA001080430
132,268,1.91E-05,1975,1994,52.4667,-125.3167,52.40000153,-126.5999985,CA001080431
132,270,2.05E-05,1980,2006,51.9833,-124.9833,52.40000153,-126.5999985,CA001084351
132,269,2.78E-05,1980,1995,51.6,-125,52.40000153,-126.5999985,CA001085208
138,274,0.00075767,1907,1954,41.9333,-121.0667,42.02999878,-121.0400009,USC00041805
138,273,0.001325016,1925,2015,42.205,-121.1314,42.02999878,-121.0400009,USC00353232
138,276,0.000134455,1980,2015,42.2667,-120.7833,42.02999878,-121.0400009,USS0020G06S
138,277,0.000495139,1999,2015,41.8833,-120.75,42.02999878,-121.0400009,USS0020H02S
138,272,0.001354784,1998,2015,42.2,-121.1333,42.02999878,-121.0400009,USS0021G04S
141,280,0.00068466,1948,2014,47.4981,-101.375,47.34999847,-101.3799973,USC00327585
141,279,0.041078306,1923,1936,47.3167,-101.3833,47.34999847,-101.3799973,USC00328298
141,281,0.000432263,1954,2015,47.455,-101.1461,47.34999847,-101.3799973,USC00328872
141,278,0.004979676,1912,1954,47.4333,-101.4,47.34999847,-101.3799973,USC00328877
141,282,0.002343303,1893,2011,47.2844,-101.0267,47.34999847,-101.3799973,USC00329195
142,289,0.005273021,1912,2001,41.9375,-99.8628,41.97999954,-99.98999786,USC00251130
142,286,0.002702909,1893,1908,41.8333,-100.0667,41.97999954,-99.98999786,USC00252485
142,287,0.00154352,1960,1980,42.1667,-100.0167,41.97999954,-99.98999786,USC00252629
142,288,0.001506932,1980,2014,42.1717,-100.0106,41.97999954,-99.98999786,USC00252680
142,283,0.000750545,1903,1990,41.9,-100.3167,41.97999954,-99.98999786,USC00253540
142,285,0.001025429,1902,2014,42.065,-100.2472,41.97999954,-99.98999786,USC00256970
142,290,0.011129411,1960,2000,42.2033,-99.6997,41.97999954,-99.98999786,USC00257318
144,298,0.001211827,1930,1965,44.3167,-79.8667,44.54999924,-79.84999847,CA006110270
144,303,0.008071321,1866,1958,44.4,-79.6833,44.54999924,-79.84999847,CA006110549
144,302,0.021012222,1968,2009,44.3833,-79.6833,44.54999924,-79.84999847,CA006110557
144,296,0.003896264,1926,1945,44.3167,-79.9,44.54999924,-79.84999847,CA006111145
144,291,0.000792509,1994,2015,44.5,-80.2167,44.54999924,-79.84999847,CA006111792
144,292,0.00084029,1869,1974,44.4833,-80.2167,44.54999924,-79.84999847,CA006111793
144,299,0.006345326,1958,2001,44.35,-79.8167,44.54999924,-79.84999847,CA006112340
144,293,0.000871376,1947,1967,44.75,-80.0833,44.54999924,-79.84999847,CA006114290
144,300,0.027083431,1947,1996,44.45,-79.7667,44.54999924,-79.84999847,CA006115099
144,297,0.001046948,1889,2015,44.75,-79.8833,44.54999924,-79.84999847,CA006115127
144,294,0.005241274,1987,2002,44.6833,-79.9333,44.54999924,-79.84999847,CA006115130
144,301,0.000893371,1936,1956,44.7667,-79.7,44.54999924,-79.84999847,CA006119399
150,304,7.08E-05,1941,1985,36.2861,-113.0636,36.24000168,-112.6900024,USC00028895
151,305,0.001359589,1944,2015,31.9556,-112.8003,31.78000069,-112.9000015,USC00026132
154,319,2.35E-06,1964,1990,16.75,-92.78,18.21999931,-94.87000275,MX000007076
154,317,5.07E-06,1961,1990,16.77,-92.9,18.21999931,-94.87000275,MX000007083
154,310,1.97E-05,1947,1984,18.02,-96.28,18.21999931,-94.87000275,MX000020014
154,315,1.57E-05,1987,1998,16.58,-94.82,18.21999931,-94.87000275,MX000020027
154,311,1.60E-05,1948,1995,16.467,-95.1,18.21999931,-94.87000275,MX000020039
154,312,1.50E-05,1937,1998,16.43,-95.03,18.21999931,-94.87000275,MX000020048
154,314,2.98E-05,1949,1995,16.72,-95,18.21999931,-94.87000275,MX000020134
154,309,2.07E-05,1957,1984,18.25,-96.4,18.21999931,-94.87000275,MX000020152
154,308,3.70E-05,1950,1984,17.88,-96.53,18.21999931,-94.87000275,MX000020174
154,318,1.39E-05,1950,1998,17.6,-92.83,18.21999931,-94.87000275,MX000027011
154,316,1.55E-05,1948,1998,18.02,-93.27,18.21999931,-94.87000275,MX000027039
154,307,6.06E-05,1952,1998,19.5,-96.62,18.21999931,-94.87000275,MX000030003
154,313,0.000753792,1952,1998,18.43,-95.02,18.21999931,-94.87000275,MX000030033
154,306,4.72E-06,1944,1998,19.38,-96.97,18.21999931,-94.87000275,MX000030179
159,320,1.10E-05,1968,1996,11.9,-70.1,12,-71.75,VE000000117
162,321,6.01E-06,1950,1996,8.02,-62.38,9.140000343,-61.18000031,VE000003994
162,322,0.001082682,1973,2014,10.583,-62.317,9.140000343,-61.18000031,VE000080423
162,324,3.01E-05,1973,1997,7.3,-61.45,9.140000343,-61.18000031,VE000080453
168,325,2.65E-05,1965,1994,-0.49,-79.36,1.059999943,-79.01999664,EC000000026
168,326,2.55E-05,1964,1992,-0.92,-79.22,1.059999943,-79.01999664,EC000000124
172,328,1.09E-06,1958,2003,-17.58,-69.6,-15.96000004,-70.01000214,BL000085230
172,327,4.01E-06,1973,2014,-16.332,-71.567,-15.96000004,-70.01000214,PE000084752
173,329,0.000256938,1980,1996,-12.85,-62.9,-13.02999973,-63.04000092,BR001262000
179,337,3.07E-05,1969,1994,-11.92,-50.67,-12.30000019,-51.59000015,BR001150000
179,336,2.71E-05,1974,1994,-11.63,-50.69,-12.30000019,-51.59000015,BR001150001
179,334,4.52E-05,1983,1994,-11.67,-51.38,-12.30000019,-51.59000015,BR001151000
179,332,5.08E-05,1976,1997,-11.72,-51.7,-12.30000019,-51.59000015,BR001152000
179,330,2.71E-05,1984,1997,-11.39,-52.23,-12.30000019,-51.59000015,BR001152001
179,335,4.87E-05,1969,1994,-12.29,-50.96,-12.30000019,-51.59000015,BR001250001
179,333,0.000169838,1982,1997,-12.16,-51.7,-12.30000019,-51.59000015,BR001251000
179,331,4.40E-05,1982,1997,-12.94,-51.83,-12.30000019,-51.59000015,BR001251001
182,339,2.65E-05,1968,2000,-19.92,-57.79,-23.5,-58.5,BR001957004
182,340,0.000208756,1971,1999,-20.29,-57.65,-23.5,-58.5,BR002057000
182,338,0.001523585,1972,2013,-20.23,-58.167,-23.5,-58.5,PA000086033
