"sccs_id","slat","slon","focal_yr","plant1_start","plant1_end","plant2_start","plant2_end","plant3_start","plant3_end","plant4_start","plant4_end","ghcn1","lat1","lon1","elev1","ghcn2","lat2","lon2","elev2","ghcn3","lat3","lon3","elev3","ghcn4","lat4","lon4","elev4"
"60",19.27000046,80.97000122,1930,NA,NA,267,315,169,210,NA,NA,"IN011020400",18.78,80.82,315,"IN011020201",19.72,81.25,584,"IN011020200",18.88,81.35,375,"IN011020500",18.87,80.38,105
"62",23.75,87.52999878,1940,162,203,NA,NA,NA,NA,NA,NA,"IN024020200",23.92,87.53,67,"IN024020100",23.67,87.7,50,"IN024032700",23.68,87.35,24,"IN024023100",23.65,87.7,59
"63",25.65999985,82.97000122,1945,161,223,NA,NA,NA,NA,NA,NA,"IN023301100",25.63,82.92,80,"IN023051201",25.73,82.98,81,"IN023550300",25.45,82.867,85,"IN023241200",25.53,83.22,73
"64",36.33000183,74.66000366,1934,162,233,NA,NA,NA,NA,NA,NA,"PK008020301",35.65,74.63,1377,"PK008020200",35.37,74.87,2249,"TI000038966",37.533,74.833,3840,"PK008060100",35.3,75.62,751
"65",45.81000137,57.97000122,1885,NA,NA,NA,NA,NA,NA,NA,NA,"KZ000035739",46.7,59,114,"KZ000035925",45.4,56.2,82,"KZ000035941",45.683,59.917,80,"UZM00038023",44.85,56.333,126
"66",47,96.02999878,1920,NA,NA,NA,NA,NA,NA,NA,NA,"MG000044272",47.75,96.85,1759,"MG000044218",48.017,91.567,1405,"RSM00036307",50.27,95.12,1100,"MG000044231",49.633,100.167,1283
"68",27.53000069,88.5,1937,176,210,302,343,NA,NA,NA,NA,"IN024050200",27.07,88.47,1209,"IN024050100",27.05,88.267,2128,"IN024050500",26.92,88.5,607,"IN024050400",26.88,88.28,1476
"70",22.33333,93,1930,151,222,311,30,NA,NA,NA,NA,"IN015010201",22.25,92.68,239,"IN015010102",22.88,92.75,996,"IN015010301",22.92,92.47,58,"IN015010300",23.38,92.75,1348
"71",21.52000046,95.41000366,1960,121,185,301,365,NA,NA,NA,NA,"IN015010201",22.25,92.68,239,"IN015010101",23.47,93.33,1429,"IN015010102",22.88,92.75,996,"IN013010101",24.33,94.08,1451
"72",20,100.66667,1940,137,197,319,31,NA,NA,NA,NA,"TH000048303",19.883,99.833,416,"TH000048331",18.767,100.767,200,"LAW00041061",19.9,102.1667,284.1,"TH000048330",18.167,100.167,162
"73",20.40999985,106.1699982,1930,159,222,314,100,NA,NA,NA,NA,"CHM00059417",22.367,106.75,129,"CHM00059838",19.1,108.617,8,"CHM00059632",21.95,108.617,6,"LAW00041062",19.9,103.1333,1311.2
"76",13.85000038,100.7099991,1955,128,243,6,69,NA,NA,NA,NA,"THW00041001",13.9167,100.6167,4.3,"TH000048456",13.917,100.6,12,"TH000048455",13.733,100.567,4,"TH000048459",13.367,100.983,2
"83",-7.71999979,112.2200012,1955,NA,NA,NA,NA,NA,NA,NA,NA,"ID000096925",-5.85,112.633,3,"ID000096805",-7.733,109.017,6,"ID000096745",-6.183,106.833,8,"KT000096995",-10.45,105.683,262
"84",-8.520000458,115.3799973,1958,274,334,121,181,NA,NA,NA,NA,"ID000096925",-5.85,112.633,3,"ID000097340",-9.667,120.333,12,"ID000096805",-7.733,109.017,6,"ID000097146",-4.1,122.433,50
"85",2,113,1950,223,263,NA,NA,NA,NA,NA,NA,"MY000096441",3.2,113.033,5,"MY000096413",1.483,110.333,27,"MY000096465",5.3,115.25,30,"MY000096491",5.9,118.067,13
"86",5,120,1963,NA,NA,NA,NA,NA,NA,NA,NA,"MY000096491",5.9,118.067,13,"RP000098836",6.9,122.067,6,"MY000096465",5.3,115.25,30,"RP000098851",6.117,125.183,15
"90",-11.39999962,130.4199982,1929,NA,NA,NA,NA,NA,NA,NA,NA,"ASN00014142",-11.4022,130.4217,18.3,"ASN00014103",-11.4258,130.6758,5,"ASN00014288",-11.7782,130.5579,63,"ASN00014194",-11.7667,130.6167,30
"91",-23.54000092,133.7599945,1896,NA,NA,NA,NA,NA,NA,NA,NA,"ASN00015671",-23.5232,133.6792,712,"ASN00015592",-23.5833,133.8333,726,"ASN00015075",-23.65,133.7833,492,"ASN00015541",-23.4167,133.75,715
"92",-8.680000305,148.3899994,1925,NA,NA,NA,NA,NA,NA,NA,NA,"PP000092035",-9.383,147.217,48,"PP000092014",-5.217,145.8,4,"ASN00027016",-9.9167,144.0333,-999.9,"ASN00027008",-9.6,143.7,53
"93",-7.630000114,138.6000061,1960,NA,NA,NA,NA,NA,NA,NA,NA,"ID000097980",-8.467,140.383,3,"ID000097686",-4.067,138.95,1660,"ASN00027002",-9.2333,142.2167,-999.9,"ASN00027052",-10.5333,141.45,-999.9
"94",-4.059999943,136.0700073,1955,NA,NA,NA,NA,NA,NA,NA,NA,"ID000097560",-1.183,136.117,11,"ID000097686",-4.067,138.95,1660,"ID000097690",-2.567,140.483,99,"ID000097502",-0.933,131.117,3
"96",-2.200000048,147.1799927,1929,NA,NA,NA,NA,NA,NA,NA,NA,"PP000092044",-2.05,147.433,8,"PPW00080431",-2.0167,147.4333,44.2,"PP000092014",-5.217,145.8,4,"ID000097690",-2.567,140.483,99
"98",-8.56000042,151.1199951,1914,NA,NA,NA,NA,NA,NA,NA,NA,"PP000092035",-9.383,147.217,48,"BP000091503",-8.333,157.267,3,"PP000092014",-5.217,145.8,4,"ASN00027016",-9.9167,144.0333,-999.9
"99",-6.570000172,155.6300049,1939,NA,NA,NA,NA,NA,NA,NA,NA,"BP000091503",-8.333,157.267,3,"BP000091517",-9.417,159.967,56,"BPW00080601",-9.4333,160.05,10.1,"FMC00914325",1.0833,154.8,2.7
"100",-12.30000019,168.8200073,1930,NA,NA,NA,NA,NA,NA,NA,NA,"NH000091554",-15.517,167.217,44,"NH000091568",-20.233,169.767,7,"FJ000091650",-12.5,177.05,26,"BPW00080601",-9.4333,160.05,10.1
"102",-18,178.5833,1840,NA,NA,NA,NA,NA,NA,NA,NA,"FJ000091680",-17.75,177.45,18,"FJ000091652",-16.133,-179.983,63,"FJ000091650",-12.5,177.05,26,"WF000917530",-13.233,-176.167,27
"104",-35.43000031,173.5700073,1820,NA,NA,NA,NA,NA,NA,NA,NA,"NZ000093012",-35.1,173.267,54,"NZ000933090",-39.017,174.183,32,"NZ000093292",-38.65,177.983,5,"NZ000093417",-40.9,174.983,7
"106",-13.88000011,-171.9600067,1829,NA,NA,NA,NA,NA,NA,NA,NA,"AQC00914397",-14.35,-170.7833,6.1,"AQC00914000",-14.3167,-170.7667,408.4,"AQC00914594",-14.3333,-170.7667,42.4,"AQC00914873",-14.35,-170.7667,14.9
"108",6.019999981,169.5500031,1900,NA,NA,NA,NA,NA,NA,NA,NA,"RMC00914300",5.9167,169.65,0,"RMC00914304",5.9167,169.65,1.8,"RMC00913915",7.2667,168.8333,1.8,"RMC00914399",7.1361,171.0411,2.1
"109",7.409999847,151.6699982,1947,NA,NA,NA,NA,NA,NA,NA,NA,"FMW00040505",7.45,151.8333,1.5,"FMW00040502",7.4667,151.85,2.1,"FMC00914251",8.55,151.9092,0.9,"FMC00914761",7.35,149.2,2.1
"110",9.510000229,138.0899963,1910,NA,NA,NA,NA,NA,NA,NA,NA,"FMC00914429",9.4833,138.0833,10.1,"FMW00040308",9.4833,138.0833,13.4,"FMC00914163",9.5367,138.1211,20.1,"FMW00040306",9.5167,138.1333,17.1
