Latitude,Longitude,Elevation(m),Elevation(ft),K-G,SCCS-ID,WWF_NUM,,,
-27.5,17,1296.924,4255,Bwh,1,13,,,
-19.94000053,20.53000069,1151.5344,3778,Bsh,2,7,,,
-9.550000191,33.86000061,490.728,1610,Cwa,8,7,,,
-3.75,35,1041.5016,3417,Aw,9,1,,,
0.479999989,32.56000137,1165.2504,3823,Aw,12,7,,,
1.75,28.32999992,810.1584,2658,Af,13,1,,,
13.75,-15.21000004,19.812,65,Bsh,21,7,,,
13.02999973,-7.349999905,305.7144,1003,Aw,22,7,,,
10.77999973,-0.819999993,194.1576,637,Aw,23,7,,,
16.66667,-2,264.2616,867,Bwh,24,7,,,
21,12,478.536,1570,Bwh,25,,,,
11.06000042,7.75,611.7336,2007,Aw,26,,,,
10.33333,15.3,324.3072,1064,Aw/Bsh,27,7,,,
13.5,25.5,705.612,2315,Bwh,29,7,,,
11.93000031,30.75,601.0656,1972,Bsh,30,7,,,
9.33333,34.66667,1525.524,5005,Aw,32,,,,
-4.900000095,35.86000061,1488.3384,4883,Bsh,34,7,,,
5.340000153,37.43999863,1470.0504,4823,Aw,35,7,,,
9,47,589.1784,1933,Bwh,36,,,,
12.60000038,37.45000076,2124.7608,6971,Aw/Csa,37,10,,,
23,38.75,955.548,3135,Bwh,39,13,,,
22.5,17.81999969,749.808,2460,Bwh,40,,,,
35,-3.25,233.7816,767,Csa,42,12,,,
-24.73999977,32.93000031,27.1272,89,Aw,43,7,,,
31.53000069,34.97999954,510.2352,1674,Csa,44,,,,
32.54000092,44.43000031,33.2232,109,Bwh,45,,,,
32.47000122,36.29000092,626.9736,2057,Bsh,46,12,,,
39.20000076,34,1525.8288,5006,Bsk/Csa,47,,,,
53,-9,29.8704,98,Cfb,51,4,,,
68.66000366,21.5,605.6376,1987,Dfc,52,6,,,
69.62999725,70.36000061,46.6344,153,ET,53,11,,,
52.66667,41.33333,160.3248,526,Dfb,54,4,,,
43,41,3.6576,12,Cfa,55,4,,,
36.61000061,44.52999878,741.8832,2434,Csa,57,8,,,
