year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1951,22.6739130434783,22.6630434782609,22.7945054945055,21.3711111111111
1952,22.8130434782609,22.6086956521739,22.3120879120879,21.6604395604396
1953,22.1630434782609,22.5304347826087,22.2527472527473,21.2522222222222
1954,21.7021739130435,22.3054347826087,21.810989010989,20.9
1955,22.0304347826087,22.6521739130435,22.667032967033,21.55
1956,22.7880434782609,22.5271739130435,22.6032967032967,22.1032967032967
1957,23.1608695652174,23.3336956521739,22.6681318681319,21.7911111111111
1958,23.0978260869565,23.1934782608696,22.867032967033,21.7477777777778
1959,23.0347826086957,22.9641304347826,22.8626373626374,21.5944444444444
1960,22.6576086956522,23.1923913043478,22.767032967033,21.8472527472527
1961,22.7282608695652,22.9478260869565,22.2703296703297,20.5711111111111
1962,22.9260869565217,22.9923913043478,22.8934065934066,22.4655555555556
1963,22.75,23.2923913043478,22.8901098901099,22.2655555555556
1964,23.3380434782609,22.8771739130435,23.0428571428571,22.3428571428571
1965,23.1565217391304,22.9619565217391,22.8637362637363,21.4977777777778
1966,23.0141304347826,23.2152173913043,22.8879120879121,22.0577777777778
1967,22.3913043478261,22.9554347826087,22.4131868131868,21.85
1968,22.8630434782609,23.1760869565217,22.2131868131868,21.7164835164835
1969,22.9239130434783,23.0923913043478,22.7527472527473,21.6144444444444
1970,23.3880434782609,22.9521739130435,22.8197802197802,22.1155555555556
1971,22.2989130434783,22.6717391304348,22.5747252747253,22.0044444444444
1972,21.8554347826087,22.1989130434783,21.8,21.5065934065934
1973,22.7108695652174,22.7065217391304,22.0472527472527,20.5822222222222
1974,22.8565217391304,22.7869565217391,22.989010989011,22.0122222222222
1975,23.1358695652174,23.1923913043478,22.9714285714286,22.3855555555556
1976,22.8847826086957,23.2586956521739,23.2967032967033,22.532967032967
1977,23.8630434782609,23.8065217391304,23.4659340659341,22.9188888888889
1978,24.1282608695652,23.5630434782609,23.4230769230769,22.9866666666667
1979,23.7326086956522,23.9597826086957,14.9351648351648,14.2622222222222
1980,23.8586956521739,23.8119565217391,23.8186813186813,23.4406593406593
1981,23.9315217391304,24.0076086956522,24.1527472527473,23.0066666666667
1982,23.6010869565217,23.9217391304348,23.2,23.3366666666667
1983,24.4695652173913,24.0695652173913,23.5571428571429,22.8366666666667
1984,23.979347826087,23.575,23.389010989011,23.3010989010989
1985,23.8217391304348,23.5467391304348,23.4406593406593,22.8744444444444
1986,23.9532608695652,23.6913043478261,23.6505494505495,22.61
1987,24.4260869565217,24.4978260869565,24.4065934065934,23.3188888888889
1988,24.7163043478261,24.1369565217391,24.2989010989011,23.767032967033
1989,24.2032608695652,24.125,23.9736263736264,14.93
1990,24.6619565217391,24.5782608695652,24.1901098901099,23.7
1991,24.5326086956522,24.7945652173913,23.9406593406593,23.5488888888889
1992,24.8304347826087,24.8282608695652,24.1142857142857,23.389010989011
1993,24.1086956521739,24.3945652173913,24.3681318681319,23.7277777777778
1994,24.5358695652174,24.5076086956522,24.2824175824176,23.8788888888889
1995,24.6630434782609,24.7619565217391,24.4307692307692,23.9766666666667
1996,24.1021739130435,24.5380434782609,24.4241758241758,23.8406593406593
1997,24.1532608695652,24.979347826087,24.4681318681319,23.6088888888889
1998,15.870652173913,25.1271739130435,24.9120879120879,24.07
1999,24.6608695652174,24.425,24.5494505494505,24.4111111111111
2000,24.925,24.3967391304348,24.3791208791209,24.3637362637363
2001,24.3065097826087,23.8953413043478,23.9873461538462,23.7132244444444
2002,24.2303173913043,24.2814793478261,24.0288802197802,23.6806966666667
2003,24.240672826087,23.7487945652174,23.7381021978022,23.5982888888889
2004,23.844025,23.9960945652174,23.5436230769231,23.651921978022
2005,23.749575,23.4014086956522,23.6872406593407,22.92455
2006,23.840702173913,23.9960826086957,23.6969923076923,23.6738977777778
2007,24.1223141304348,23.9009054347826,23.8732813186813,23.6273866666667
2008,23.6526413043478,23.5629456521739,23.7984813186813,23.5011142857143
2009,24.0300782608696,23.9734782608696,23.274467032967,23.3098877777778
2010,22.4667706521739,21.9673913043478,21.2796153846154,21.6681222222222
2011,23.9908347826087,24.1345086956522,23.7304835164835,21.5018933333333
2012,24.086475,23.9838836956522,23.9224098901099,23.5600538461538
2013,23.9650510869565,23.8486184782609,23.9424065934066,23.8989
2014,23.9034206521739,24.0463880434783,23.6109307692308,23.0902111111111
2015,23.5158391304348,24.1264652173913,23.860321978022,23.48513
2016,24.6913956521739,24.2260467391304,23.9431340659341,23.8099549450549
2017,24.0431206521739,23.6057673913043,23.4,23.5366177777778
