year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1940,19.9,23.3671456521739,20.5836912087912,18.3076923076923
1941,17.785472826087,22.5243195652174,20.8344373626374,15.31504
1942,18.5826086956522,23.0423913043478,22.3351648351648,15.8366666666667
1943,18.8223891304348,23.4282608695652,21.9032197802198,16.1222222222222
1944,19.0739130434783,23.4391304347826,22.456043956044,16.5045736263736
1945,19.525,22.6173913043478,21.5747252747253,17.1411111111111
1946,18.1347826086957,22.7358695652174,21.2120879120879,15.7177777777778
1947,18.3478260869565,22.4271739130435,21.2923076923077,16.08
1948,18.5652173913043,22.8576086956522,20.7571428571429,16.032967032967
1949,17.9326086956522,22.9695652173913,21.5978021978022,16.7988888888889
1950,19.0913043478261,23.0315217391304,20.9395604395604,15.9011111111111
1951,18.5782608695652,22.9597826086957,21.3791208791209,15.2211111111111
1952,17.7836956521739,23.2565217391304,21.3406593406593,14.1296703296703
1953,17.645652173913,22.279347826087,20.9813186813187,16.3111111111111
1954,18.0054347826087,22.5423913043478,21.4868131868132,15.84
1955,18.4315217391304,22.3891304347826,20.8604395604396,14.6933333333333
1956,17.3326086956522,22.2934782608696,20.8846153846154,15.8901098901099
1957,17.2847826086957,22.204347826087,20.8846153846154,16.0477777777778
1958,19.0141304347826,22.8815217391304,20.9659340659341,15.9733333333333
1959,17.8304347826087,22.4,20.9648351648352,15.2533333333333
1960,17.5826086956522,22.3597826086957,20.7373626373626,15.5791208791209
1961,18.5271739130435,22.7413043478261,20.8241758241758,14.9511111111111
1962,18.4369565217391,22.5119565217391,21.7065934065934,16.3444444444444
1963,18.1869565217391,22.7402173913043,20.6725274725275,16.1411111111111
1964,18.85,22.7695652173913,20.3142857142857,16.1010989010989
1965,17.9022793478261,22.5957326086957,20.9026791208791,14.95
1966,17.981125,22.9268195652174,20.9410307692308,15.7483733333333
1967,18.2528641304348,22.8192108695652,20.7592725274725,15.5817066666667
1968,18.0898206521739,22.6373630434783,21.2622395604396,15.5469208791209
1969,18.0028641304348,22.5610586956522,20.6933384615385,15.5594844444444
1970,18.1224293478261,22.8011673913043,21.149821978022,15.5594844444444
1971,18.2093858695652,22.50595,21.1021296703297,15.8705955555556
1972,18.1550380434783,22.6611673913043,20.7974043956044,15.5469208791209
1973,20.35555,23.2131076086957,20.1274659340659,15.3570355555556
1974,18.2644891304348,21.9807163043478,19.4386527472527,15.4031255555556
1975,18.5480456521739,22.0438336956522,19.3961032967033,15.5588111111111
1976,19.1381913043478,22.1811054347826,20.5437857142857,15.7337428571429
1977,18.820652173913,23.1032608695652,21.4252747252747,17.01203
1978,18.8804347826087,23.0684782608696,20.9016626373626,17.5577777777778
1979,19.6054347826087,23.0108695652174,22.410989010989,17.2666666666667
1980,18.9413043478261,22.7913043478261,21.8131868131868,17.0505494505495
1981,19.6217391304348,23.2108695652174,22.122610989011,16.8509511111111
1982,18.4836956521739,22.7782608695652,21.4131868131868,15.9088888888889
1983,20.1510869565217,24.0717391304348,22.832967032967,17.6277777777778
