year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1952,21,21,19.8170153846154,18.6230769230769
1953,23.1836956521739,21.6423913043478,20.1538461538462,15.8588888888889
1954,23.4182347826087,21.1532608695652,20.7659340659341,17.1666666666667
1955,23.7239130434783,20.8913043478261,19.7153846153846,17.9755555555556
1956,24.5217391304348,21.604347826087,20.9197802197802,18.5043956043956
1957,24.0565217391304,21.5489130434783,21.1989010989011,18.1455555555556
1958,24.7586956521739,21.5434782608696,21.2648351648352,19.2255555555556
1959,24.342677173913,21.6119565217391,20.6285714285714,17.6833333333333
1960,23.8445652173913,21.4521739130435,20.4791208791209,19.2593406593407
1961,23.7347826086957,21.1478260869565,19.6879120879121,17.2922222222222
1962,23.5804347826087,20.8836956521739,20.9703296703297,17.6255555555556
1963,23.379347826087,20.8945652173913,20.7395604395604,19.5844444444444
1964,23.9619565217391,21.2880434782609,20.1704879120879,17.9065934065934
1965,24.1934782608696,21.7945652173913,20.5494505494505,18.9833333333333
1966,24.0304347826087,21.6771739130435,20.1087912087912,18.0255555555556
1967,24.0108695652174,21.8152173913043,20.3527472527473,18.57
1968,23.8913043478261,21.454347826087,21.2175824175824,18.3912087912088
1969,25.925,21.8391304347826,20.5923076923077,18.0044444444444
1970,24.520652173913,21.8413043478261,20.3857142857143,17.7611111111111
1971,24.6728260869565,21.5239130434783,19.8450549450549,17.46
1972,24.8913043478261,21.854347826087,20.3681318681319,18.7263736263736
1973,25.0782608695652,21.9054347826087,19.8736263736264,19.42
1974,23.8434782608696,21.2923913043478,20.1956043956044,17.1977777777778
1975,24.0467391304348,20.904347826087,20.089010989011,16.9077777777778
1976,24.0021739130435,20.9565217391304,20.1857142857143,18.3318681318681
1977,24.5097826086957,21.5847826086957,20.1527472527473,17.9033333333333
1978,23.445652173913,21.0663043478261,19.8931175824176,17.9122222222222
