year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1939,21.35,23,20.2406593406593,20.3277777777778
1940,23.869697826087,23.4445652173913,21.0989010989011,15.8912087912088
1941,23.9675239130435,23.4228260869565,21.2197802197802,15.9122222222222
1942,23.7501326086957,23.325,21.010989010989,15.8233333333333
1943,24.3044804347826,23.4445652173913,21.0769230769231,16.1233333333333
1944,24.011002173913,23.5641304347826,20.8131868131868,16.5725274725275
1945,23.5684782608696,24.1434782608696,21.1934065934066,16.2244444444444
1946,24.6130434782609,23.1532608695652,20.9989010989011,15.7888888888889
1947,23.9608695652174,24.3891304347826,21.6626758241758,17.2844444444444
1948,24.3989130434783,23.575,20.1483516483516,15.6
1949,24.9815217391304,24.3086956521739,21.8494505494505,15.4322222222222
1950,22.745652173913,24.4576086956522,20.6791208791209,15.5822222222222
1951,23.9467391304348,24.0173913043478,21.9373626373626,15.6222222222222
1952,23.8880434782609,23.9597826086957,19.9747252747253,15.4054945054945
1953,23.5119565217391,23.0478260869565,21.2571428571429,15.8644444444444
1954,25.1032608695652,22.9217391304348,21.5626373626374,16.2044444444444
1955,24.5923913043478,23.4695652173913,21.1208791208791,16.4588888888889
1956,25.2194554347826,23.4304347826087,20.5450549450549,17.1538461538462
1957,23.5641304347826,23.5934782608696,22.0406593406593,15.6811111111111
1958,24.5953315217391,23.5826086956522,21.7538461538462,16.5255555555556
1959,24.675,24.2184782608696,20.4373626373626,16.2066666666667
1960,24.5565217391304,23.6347826086957,21.1582417582418,16.5252747252747
1961,23.020652173913,22.8065217391304,19.5483516483516,14.0144444444444
1962,24.8282608695652,23.8163043478261,22.6483516483516,15.3688888888889
1963,24.5815217391304,24.5,22.4065934065934,17.6
1964,25.095652173913,23.2717391304348,19.4863615384615,16.4532087912088
1965,22.8733989130435,23.4439380434783,19.7327802197802,15.3491855555556
1966,23.8349510869565,23.791327173913,20.3095956043956,15.7747733333333
1967,25.4880434782609,23.7695652173913,20.7472527472527,16.72
1968,24.5358695652174,24.0934782608696,22.5615384615385,16.8824175824176
1969,26.554347826087,24.8097826086957,23.3934065934066,17.4922222222222
1970,24.595652173913,24.4054347826087,21.5296703296703,16.8955555555556
1971,25.4836956521739,24.5130434782609,21.7868131868132,16.3033333333333
1972,25.4141304347826,24.9934782608696,22.8021978021978,16.7824175824176
1973,25.3989130434783,25.3423913043478,22.7395604395604,17.8077777777778
1974,25.595652173913,24.1934782608696,21.7758241758242,15.7966666666667
1975,24.979347826087,24.2358695652174,21.9032967032967,15.4977777777778
1976,24.2163043478261,24.1728260869565,22.7186813186813,17.1549450549451
1977,23.6739130434783,24.1565217391304,21.6956043956044,15.7411111111111
1978,25.6282608695652,23.7891304347826,22.2021978021978,16.3366666666667
1979,24.8858695652174,24.4478260869565,23.721978021978,16.06
1980,25.0978260869565,24.7586956521739,23.0461538461538,16.9791208791209
