year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1973,3.62934782608696,12.3032608695652,4.2032967032967,-6.17888888888889
1974,3.25217391304348,12.904347826087,3.9956043956044,-6.94777777777778
1975,3.25760869565217,13.3554347826087,3.97032967032967,-7.27666666666667
1976,2.64239130434783,13.125,3.35384615384615,-5.77912087912088
1977,3.77717391304348,12.7967391304348,4.25934065934066,-7.05444444444444
1978,4.0695652173913,12.3021739130435,4.5978021978022,-6.11444444444444
1979,4.03369565217391,12.8271739130435,4.38571428571429,-5.50666666666667
1980,3.34782608695652,12.6576086956522,4.71208791208791,-5.97802197802198
1981,4.19021739130435,12.3445652173913,4.01428571428571,-6.32111111111111
1982,3.60978260869565,13.1141304347826,3.71428571428571,-6.64222222222222
1983,3.24782608695652,12.8717391304348,4.04945054945055,-5.48222222222222
1984,3.46739130434783,13.4478260869565,3.99450549450549,-8.77142857142857
1985,2.9,12.6836956521739,4.57912087912088,-6.37
1986,3.56304347826087,12.825,4.54835164835165,-5.12777777777778
1987,4.17934782608696,12.3032608695652,3.89340659340659,-5.48111111111111
1988,3.55434782608696,12.9086956521739,3.7021978021978,-5.86813186813187
1989,3.51086956521739,13.1913043478261,3.92747252747253,-5.64444444444444
1990,3.92065217391304,13.2641304347826,4.42527472527473,-6.81666666666667
1991,3.81630434782609,12.5010869565217,4.64175824175824,-5.72555555555556
1992,2.59891304347826,12.0423913043478,4.48241758241758,-5.37582417582418
1993,2.50434782608696,12.245652173913,2.91428571428571,-5.63888888888889
1994,3.61521739130435,13.0684782608696,3.79230769230769,-7.28
1995,3.2804347826087,12.9663043478261,4.78901098901099,-6.28666666666667
1996,2.15326086956522,12.7402173913043,4.12417582417582,-5.52307692307692
1997,4.17934782608696,12.9978260869565,4.42637362637363,-5.93777777777778
1998,2.98478260869565,12.8097826086957,4.5978021978022,-6.09888888888889
1999,3.28478260869565,12.5282608695652,4.35604395604396,-4.62555555555556
2000,4.0304347826087,13.0467391304348,3.77802197802198,-6.05384615384615
2001,5.21086956521739,12.8663043478261,4.34505494505495,-6.15666666666667
2002,3.67173913043478,12.954347826087,5.45164835164835,-5.78444444444444
2003,2.71521739130435,12.4391304347826,4.21648351648352,-5.34111111111111
2004,4.025,12.8902173913043,4.47802197802198,-4.77692307692308
2005,3.8804347826087,12.6760869565217,4.38241758241758,-5.70444444444444
2006,4.84782608695652,13.1521739130435,4.63956043956044,-6.71222222222222
2007,4.30760869565217,12.925,4.14945054945055,-6.47333333333333
2008,5.275,14,3.67252747252747,-8.17362637362637
2009,3.81413043478261,12.1826086956522,4.04615384615385,-5.37444444444444
2010,4.80652173913044,13.0271739130435,5.23296703296703,-5.32777777777778
2011,4.38913043478261,13.3413043478261,4.61648351648352,-6.30111111111111
2012,4.03586956521739,13.3771739130435,4.22527472527473,-7.80659340659341
2013,4.48695652173913,13.0021739130435,5.25824175824176,-5.54888888888889
2014,3.98804347826087,13.3086956521739,4.16263736263736,-7.30555555555556
2015,4.22826086956522,13.6597826086957,4.34835164835165,-5.22555555555556
2016,5.8304347826087,13.4021739130435,4.35824175824176,-3.76153846153846
2017,3.44673913043478,6.6554347826087,4.4,-2.45888888888889
