year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1976,22.3913043478261,20.8478260869565,21.2417582417582,22.043956043956
1977,22.2391304347826,20.6630434782609,21.2197802197802,22.2444444444444
1978,22.0760869565217,20.5760869565217,21.0879120879121,21.6
1979,20.6630434782609,20.6739130434783,20.978021978022,21.1444444444444
1980,21.9239130434783,21.054347826087,21.032967032967,21.2967032967033
1981,20.554347826087,20.0434782608696,20.4505494505495,21.1222222222222
1982,22.6739130434783,21.3152173913043,22,22.4888888888889
1983,22.75,20.7282608695652,22.1648351648352,22.8333333333333
1984,22.6304347826087,21.3804347826087,21.8791208791209,22.610989010989
1985,22.6195652173913,21.6086956521739,21.4593406593407,21.9811111111111
1986,22.2195652173913,19.6021739130435,20.8384615384615,22.6388888888889
1987,22.4554347826087,20.0739130434783,21.3263736263736,22.2866666666667
1988,22.395652173913,21.8739130434783,21.4252747252747,22.7725274725275
1989,22.170652173913,20.5695652173913,20.8934065934066,22.0677777777778
1990,22.6315217391304,20.7119565217391,22.2417582417582,22.4688888888889
1991,22.5532608695652,21.0630434782609,21.3879120879121,22.5177777777778
1992,21.7554347826087,21.0152173913043,20.4549450549451,22.2197802197802
1993,22.75,20.6945652173913,20.6417582417582,22.04
1994,22.5880434782609,20.6097826086957,20.5197802197802,22.3977777777778
1995,22.3684782608696,21.4184782608696,21.6197802197802,21.6844444444444
1996,21.579347826087,20.3010869565217,21.1956043956044,21.6934065934066
1997,22.0184782608696,20.5641304347826,20.3351648351648,22.3155555555556
1998,21.9913043478261,20.220652173913,20.8923076923077,22.5777777777778
1999,22.3478260869565,21.05,21.378021978022,22.0533333333333
2000,21.7771739130435,21.4608695652174,21.6516483516484,22.2153846153846
2001,22.4858695652174,21.4076086956522,21.3604395604396,22.3688888888889
2002,23.2423913043478,21.1847826086957,21.7923076923077,23.0888888888889
2003,22.6065217391304,21.254347826087,21.1681318681319,22.3122222222222
2004,22.0608695652174,21.3923913043478,22.1076923076923,22.6021978021978
2005,22.2728260869565,20.7086956521739,22.0175824175824,22.8922222222222
2006,23.0228260869565,21.1913043478261,22.3252747252747,23.15
2007,22.4163043478261,21.7826086956522,21.8659340659341,22.8311111111111
2008,22.3423913043478,21.4217391304348,22.1824175824176,22.9197802197802
2009,22.6152173913043,21.1619565217391,21.4450549450549,22.8311111111111
2010,23.0239130434783,21.4967391304348,22.1516483516484,22.7622222222222
2011,22.3760869565217,21.4521739130435,22.3098901098901,22.8933333333333
2012,22.3554347826087,21.6728260869565,22.2923076923077,22.3978021978022
2013,22.7978260869565,21.3989130434783,21.8384615384615,22.6344444444444
2014,21.9478260869565,19.9445652173913,21.9153846153846,22.5355555555556
2015,22.9945652173913,21.2760869565217,21.7208791208791,22.9355555555556
2016,22.1902173913043,20.5913043478261,20.8758241758242,22.156043956044
2017,22.4891304347826,22.0304347826087,22,22.2355555555556
