year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1961,14.2,12.9804347826087,9.67802197802198,12.6111111111111
1962,10.8902173913043,10.8326086956522,10.4857142857143,10.2344444444444
1963,11.2010869565217,11.6891304347826,11.6857142857143,10.4866666666667
1964,10.7771739130435,10.9086956521739,11.0494505494505,10.6120879120879
1965,11.5641304347826,12.0630434782609,11.789010989011,11.5666666666667
1966,12.5413043478261,12.0891304347826,12.4791208791209,12.2311111111111
1967,11.9739130434783,12.5391304347826,12.7637362637363,12.3033333333333
1968,13.445652173913,13.1445652173913,13.1274725274725,12.3153846153846
1969,13.5619565217391,12.8510869565217,12.0274725274725,12.4855555555556
1970,13.9021739130435,13.8586956521739,13.0989010989011,13.35
1971,13.9347826086957,13.5108695652174,13.4945054945055,13.1222222222222
1972,14.054347826087,13.4673913043478,13.4285714285714,13.2527472527473
1973,14.2717391304348,13.4565217391304,13.4065934065934,13.6666666666667
1974,13.8369565217391,13.4347826086957,13.3626373626374,13.5444444444444
1975,13.3804347826087,13.1521739130435,13.0549450549451,12.8666666666667
1976,13.304347826087,12.9130434782609,11.978021978022,12.5824175824176
1977,11.4021739130435,11.4347826086957,12.2197802197802,11.3777777777778
1978,9.15217391304348,13.5434782608696,13.2747252747253,11.4333333333333
1979,14.325,14.4467391304348,13.5681318681319,13.4055555555556
1980,15.2119565217391,13.6945652173913,14.2021978021978,13.0021978021978
1981,14.4771739130435,14.3717391304348,14.421978021978,12.9244444444444
1982,14.7065217391304,15.2576086956522,15.0318681318681,14.5933333333333
1983,15.8989130434783,15.1858695652174,15.0516483516483,15.1977777777778
1984,14.9467391304348,14.1815217391304,14.3131868131868,14.2758241758242
1985,14.0510869565217,14.1108695652174,14.2967032967033,11.2477777777778
1986,14.4902173913043,14.520652173913,11.8813186813187,6.72333333333333
1987,14.6282608695652,15.1434782608696,14.3967032967033,13.4144444444444
1988,14.9608695652174,13.6695652173913,12.8758241758242,13.8648351648352
1989,13.775,13.2989130434783,14.6021978021978,13.7333333333333
1990,15.1673913043478,11.3271739130435,12.5813186813187,14.1122222222222
1991,14.8717391304348,15.0217391304348,14.7593406593407,14.6977777777778
1992,15.6869565217391,14.5989130434783,14.4340659340659,14.4472527472527
1993,15.2445652173913,14.6891304347826,13.9285714285714,14.2911111111111
1994,13.8565217391304,14.3478260869565,14.8571428571429,13.9277777777778
1995,13.8369565217391,14.3576086956522,14.9153846153846,14.3811111111111
1996,14.1282608695652,14.254347826087,12.5153846153846,13.5395604395604
1997,15.0847826086957,15.0652173913043,14.9252747252747,14.0744444444444
1998,16.0423913043478,14.4163043478261,14.6395604395604,15.17
1999,14.8097826086957,13.929347826087,13.6054945054945,13.7588888888889
2000,14.104347826087,13.9391304347826,13.2703296703297,13.0989010989011
2001,13.9065217391304,13.8608695652174,13.8857142857143,13.7788888888889
2002,14.0619565217391,14.0282608695652,13.8945054945055,13.58
2003,13.8619565217391,13.7336956521739,13.3351648351648,13.68
2004,14.3641304347826,13.4521739130435,13.4725274725275,13.310989010989
2005,13.8847826086957,13.9630434782609,13.6846153846154,13.1633333333333
2006,14.1760869565217,13.270652173913,13.1318681318681,12.9744444444444
2007,14.0010869565217,13.2663043478261,13.3835164835165,13.1111111111111
2008,14,13.9021739130435,13.1428571428571,12.2604395604396
2009,13.554347826087,13.6304347826087,13.1098901098901,13.4755555555556
2010,14.65,14.0586956521739,13.8593406593407,14.44
2011,14.4228260869565,14.1826086956522,14.0340659340659,14.2966666666667
2012,14.379347826087,14.4760869565217,14.2131868131868,14.0461538461538
2013,14.7869565217391,13.8532608695652,14.1021978021978,13.9888888888889
2014,14.2054347826087,14.3663043478261,14.1725274725275,14.4333333333333
2015,14.6108695652174,15.1630434782609,14.410989010989,14.4644444444444
2016,15.3173913043478,14.3217391304348,14.1923076923077,14.7120879120879
2017,14.6413043478261,14.2358695652174,14.2,13.9922222222222
