year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1951,18.7978260869565,23.0217391304348,20.489010989011,13.5722222222222
1952,19.1108695652174,23.3326086956522,20.8098901098901,12.5615384615385
1953,19.3934782608696,23.270652173913,21.0868131868132,13.4855555555556
1954,19.6663043478261,23.3630434782609,20.2604395604396,12.76
1955,18.0478260869565,22.4510869565217,19.5395604395604,10.2833333333333
1956,18.8586956521739,22.6880434782609,19.1747252747253,10.7901098901099
1957,19.1184782608696,22.7913043478261,20.5384615384615,12.0311111111111
1958,19.4141304347826,23.0554347826087,19.5373626373626,11.5844444444444
1959,19.0891304347826,22.9097826086957,19.6175824175824,13.2533333333333
1960,18.5271739130435,23.1902173913043,20.932967032967,13.9417582417582
1961,19.1380434782609,22.479347826087,19.6417582417582,13.5444444444444
1962,18.1532608695652,22.1163043478261,19.1395604395604,11.82
1963,17.8728260869565,22.0413043478261,19.5120879120879,11.1433333333333
1964,18.645652173913,22.2739130434783,19.532967032967,11.6549450549451
1965,18.4315217391304,22.1434782608696,19.1,12.4966666666667
1966,19.2586956521739,22.0934782608696,20.3956043956044,14.7388888888889
1967,19.2902173913043,22.7391304347826,19.6472527472527,13.3955555555556
1968,18.9771739130435,23.0358695652174,20.4494505494505,13.0417582417582
1969,19.3336956521739,22.3663043478261,19.0901098901099,11.5577777777778
1970,18.7445652173913,22.2510869565217,18.9428571428571,13.3955555555556
1971,18.8021739130435,21.379347826087,17.1010989010989,11.84
1972,19.5478260869565,23.0521739130435,20.8835164835165,12.6571428571429
1973,19.9521739130435,22.8184782608696,19.7604395604396,11.7666666666667
1974,19.2228260869565,22.5347826086957,20.4637362637363,10.8511111111111
1975,19.4663043478261,22.8467391304348,20.1065934065934,12.9433333333333
1976,19.5304347826087,22.6858695652174,20.4318681318681,11.7076923076923
1977,19.270652173913,22.9347826086957,19.5076923076923,13.43
1978,18.9858695652174,23.1923913043478,19.5263736263736,13.1855555555556
1979,20.0076086956522,23.2054347826087,18.5912087912088,12.7955555555556
1980,20.2021739130435,23.4315217391304,19.9571428571429,12.5296703296703
1981,19.1228260869565,23.1597826086957,20.8989010989011,12.9888888888889
1982,19.3173913043478,23.1554347826087,20.2791208791209,11.9033333333333
1983,19.0891304347826,23.3369565217391,20.1296703296703,11.5055555555556
1984,19.3510869565217,22.8413043478261,19.3417582417582,13.7010989010989
1985,19.6913043478261,22.9934782608696,20.0362637362637,12.8011111111111
1986,18.7282608695652,23.1923913043478,19.8010989010989,12.8122222222222
1987,19.2576086956522,23.3380434782609,21.4,12.2422222222222
1988,19.9739130434783,23.1891304347826,19.3428571428571,12.521978021978
1989,19.7402173913043,22.745652173913,19.9010989010989,11.3566666666667
1990,19.3891304347826,23.1347826086957,20.1428571428571,12.6611111111111
1991,19.9597826086957,23.2336956521739,20.356043956044,12.6511111111111
1992,19.1228260869565,23.3347826086957,19.1945054945055,11.3230769230769
1993,18.8978260869565,22.7271739130435,19.389010989011,12.1844444444444
1994,20.6695652173913,23.375,19.5604395604396,13.8866666666667
1995,20.1847826086957,23.2891304347826,21.0186813186813,13.0988888888889
1996,20.4108695652174,23.1967391304348,20.9593406593407,13.2186813186813
1997,19.5586956521739,23.5673913043478,20.767032967033,12.97
1998,20.2228260869565,23.8,20.456043956044,14.0288888888889
1999,20.1880434782609,23.2760869565217,20.4230769230769,14.1744444444444
2000,19.7532608695652,23.2217391304348,19.4945054945055,14.2307692307692
2001,21.520652173913,23.8902173913043,20.1989010989011,14.0111111111111
2002,19.8521739130435,23.820652173913,20.7681318681319,15.3133333333333
2003,20.5815217391304,23.7902173913043,20.5934065934066,14.6744444444444
2004,20.4159826086956,23.3247445652174,20.2040461538462,12.5912802197802
2005,19.6191793478261,23.2619510869565,20.8551582417582,12.9390633333333
2006,19.9948402173913,23.4116413043478,20.3191868131868,14.1234166666667
2007,20.075625,23.5856260869565,20.0061483516484,13.3178855555556
2008,21.0907,23.3930336956522,20.840032967033,13.7505043956044
2009,20.4544836956522,23.7235880434783,20.5728076923077,13.7807688888889
2010,20.7963032608696,23.8030630434783,20.7563153846154,14.8963555555556
2011,20.6793380434783,23.6145586956522,20.3761153846154,14.8423288888889
2012,20.6674597826087,23.6916445652174,21.7470428571429,14.8835648351648
2013,20.6424217391304,23.4748945652174,20.9476142857143,15.4872722222222
2014,20.5594826086957,23.864577173913,21.334889010989,14.2829211111111
2015,20.5109369565217,23.8574054347826,21.4225296703297,14.6133044444444
2016,20.9993152173913,23.5114206521739,21.5474274725275,13.9986846153846
2017,20.6540195652174,21.5696576086957,20.7,17.4373677777778
